60,22
57,40
78,98
7,13
75,70
63,57
25,43
43,91
18,19
68,27
3,74
73,46
14,99
59,64
82,18
22,15
54,9
50,6
32,8
73,20
16,3
86,98
78,99
86,35
31,54
83,89
42,54
7,32
59,54
17,11
29,62
16,58
80,4
47,4
3,83
83,39
26,3
36,96
72,6
35,10
20,44
83,53
63,72
48,28
85,66
19,63
72,97
19,18
29,33
99,15
2,0
84,39
54,30
94,86
32,27
89,90
9,91
92,51
93,0
21,96
92,22
28,75
24,67
62,19
3,63
23,53
34,8
26,6
54,99
1,14
20,33
86,74
20,38
0,89
82,71
4,61
84,95
13,26
56,42
22,33
0,51
15,97
56,57
73,0
81,92
66,14
84,89
23,90
87,28
91,79
58,16
55,84
81,56
84,12
65,9
53,6
47,22
82,36
44,49
41,30
26,84
10,22
43,62
1,38
89,91
86,8
20,28
66,51
55,23
41,64
67,99
45,6
38,65
5,52
94,19
64,62
65,2
36,3
90,56
97,46
5,58
20,26
46,60
34,89
3,28
61,98
16,28
8,95
9,63
21,17
51,39
80,47
35,5
15,16
24,71
54,60
0,99
39,61
30,34
66,14
32,11
91,83
44,77
75,29
33,38
38,22
51,43
45,79
41,94
7,90
4,88
3,53
36,84
18,56
48,84
3,91
73,37
86,35
32,80
37,79
40,31
65,29
3,82
73,71
77,36
1,33
31,78
9,58
0,73
16,34
39,23
71,32
24,44
61,43
3,53
98,86
68,98
77,46
79,2
96,61
85,29
79,72
54,38
37,37
69,25
45,88
18,31
56,10
14,7
66,5
39,36
61,25
27,36
96,30
50,47
55,43
28,78
11,0
98,47
51,58
89,40
66,96
18,74
7,3
92,37
94,8
23,72
29,13
2,37
4,12
24,89
13,22
95,0
72,67
22,54
31,13
87,17
16,56
46,41
61,60
42,94
9,18
10,93
43,24
68,57
78,51
27,77
94,89
26,62
79,87
0,86
16,50
0,46
51,56
71,13
94,95
24,38
1,1
18,53
36,46
43,20
51,9
2,20
42,34
67,31
61,66
23,83
79,36
41,18
25,59
38,52
93,3
38,88
62,71
46,68
17,47
53,43
92,53
30,88
18,68
